user_id,cellphone_id,rating
53429,29,10
35680,29,6
22874,12,1
98062,3,7
62284,8,2
22941,11,9
65304,2,8
94361,8,8
90889,33,6
15189,1,3
80841,5,2
4089,8,7
18267,30,7
46938,28,6
99224,16,1
23160,31,1
7736,6,8
32130,29,10
87480,17,5
83356,9,9
4163,8,2
21325,29,5
75284,15,2
80890,14,3
61991,32,3
41954,12,8
98731,21,4
84179,31,1
11910,8,2
9487,20,4
24606,24,8
40882,27,8
41015,8,9
11351,11,7
54169,8,4
31307,6,6
75249,33,6
97732,31,8
28931,7,7
97604,11,1
78738,32,2
19533,5,5
25267,33,7
76305,1,4
98993,2,6
97032,9,4
16120,11,2
87653,18,4
56443,24,2
98426,20,2
71324,25,2
59692,31,10
10263,20,1
74914,29,1
19095,17,7
91056,28,9
23068,25,5
58923,33,2
31747,2,9
28265,27,7
83276,18,5
98391,12,10
96220,16,1
76198,17,2
37705,24,8
21043,16,9
25786,26,8
81512,33,9
22422,23,3
32156,14,1
36753,15,3
27895,21,7
95001,32,7
42961,27,2
85803,27,5
18110,33,3
28180,8,10
68096,22,8
71381,13,2
76337,28,2
55611,15,6
25401,33,4
9814,26,5
88356,8,3
74466,2,7
72550,6,10
52032,12,9
8715,25,8
14515,17,3
14045,7,1
44806,20,9
84780,3,1
42529,19,3
21536,5,10
59204,20,7
79574,24,2
65049,7,2
75622,33,3
11694,23,2
94626,2,7
39030,21,8
37510,33,9
6266,22,6
93373,29,4
19336,27,1
61199,25,9
49493,28,7
76439,3,10
48340,33,7
76475,10,2
79136,14,1
22496,11,10
50969,14,3
89529,30,9
94968,23,3
14366,28,6
94670,11,6
75759,32,10
87729,3,2
85753,31,7
77060,15,6
20542,10,9
79428,18,7
10508,3,1
30731,11,1
33839,6,6
2226,11,7
65754,1,1
68492,24,2
68235,17,6
65011,30,1
35914,33,8
21581,3,7
71139,20,7
12754,11,9
15942,27,4
81227,13,2
93533,17,7
59797,17,8
47213,20,8
73027,24,9
29439,32,5
46321,10,9
31,27,5
89777,23,5
49746,16,8
50930,9,4
6170,6,7
83656,13,10
43910,23,3
37098,22,1
97054,2,1
91184,14,4
67924,21,9
48551,22,4
1422,23,4
53121,21,2
30465,23,2
15074,21,1
86183,1,2
40397,12,10
83479,27,6
85435,18,4
35863,4,7
84393,8,10
59054,14,10
95768,5,10
40568,16,7
33599,12,8
35617,16,1
69315,33,7
24802,31,4
94717,24,7
89258,13,6
39517,5,7
67195,19,5
33422,22,9
30291,8,2
40380,31,7
86459,2,2
93433,7,4
65135,21,8
7306,15,6
19352,17,2
24,10,6
89106,18,7
37977,28,9
86181,9,1
10277,14,8
52602,14,1
26099,16,7
20855,14,7
42125,13,9
60998,19,5
16147,9,4
36194,3,5
20139,20,5
799,15,9
14440,23,9
98581,21,9
90412,19,7
58316,3,5
79419,15,6
45614,14,5
63464,20,8
92051,28,3
47784,23,9
68010,25,4
51329,14,4
63521,31,9
87959,12,8
5200,5,2
27803,1,3
67656,7,6
46799,13,1
60786,20,10
3024,30,6
88661,26,10
15347,12,5
1750,12,1
18361,21,2
9329,8,8
42685,3,1
70966,13,3
22516,8,10
98160,32,9
40998,16,10
25346,23,5
9043,13,10
27351,23,9
15534,31,9
34305,4,2
39437,14,9
50301,10,4
