user_id,age,gender,occupation
82878,45,['M'],Armed forces logistics/support/administrative officer
96491,24,['F'],Child psychotherapist
95628,28,['F'],Biomedical engineer
33380,43,['M'],Ambulance person
25829,55,['F'],Learning mentor
91603,57,['M'],"Engineer, mining"
33844,43,['F'],Community education officer
11537,43,['F'],Quarry manager
4932,18,['F'],Communications engineer
61504,39,['M'],"Pharmacist, hospital"
17747,41,['F'],Hospital doctor
41824,18,['F'],Dealer
82348,35,['F'],Editorial assistant
80996,43,['F'],"Therapist, sports"
25294,45,['M'],Careers adviser
31394,59,['F'],Database administrator
4541,42,['F'],Learning disability nurse
11962,19,['M'],Quality manager
21466,54,['F'],Logistics and distribution manager
23559,52,['M'],Quarry manager
36155,46,['F'],Field seismologist
31944,19,['M'],"Teacher, special educational needs"
97724,34,['M'],"Scientist, forensic"
81923,21,['F'],Data scientist
85663,30,['F'],Primary school teacher
93510,19,['M'],Health physicist
95365,25,['M'],Interpreter
96876,45,['M'],Restaurant manager
20030,29,['F'],Public house manager
39133,60,['F'],Logistics and distribution manager
89694,31,['F'],"Designer, graphic"
86328,37,['M'],Firefighter
47955,49,['M'],Broadcast journalist
86571,31,['M'],"Designer, interior/spatial"
93086,33,['M'],Immunologist
71651,22,['F'],Risk manager
7875,23,['M'],Agricultural consultant
30760,23,['F'],"Radiographer, diagnostic"
40947,42,['F'],Tax inspector
95917,45,['M'],Systems analyst
89966,36,['M'],Chiropodist
84747,38,['F'],"Nurse, adult"
44152,20,['F'],Textile designer
40235,49,['F'],"Psychologist, educational"
8837,50,['F'],"Engineer, energy"
77811,36,['M'],"Pilot, airline"
2065,27,['F'],Arts administrator
59752,58,['M'],"Psychologist, forensic"
28478,28,['M'],Bookseller
86304,23,['M'],Quarry manager
14261,34,['M'],"Geneticist, molecular"
89987,32,['F'],Theme park manager
58608,30,['F'],Bookseller
41818,29,['F'],Production manager
15491,55,['F'],"Nurse, children's"
70763,39,['M'],Sales promotion account executive
57097,49,['F'],Data scientist
19826,47,['F'],IT sales professional
99373,59,['F'],"Accountant, chartered management"
66033,60,['M'],Magazine features editor
9935,55,['F'],"Sales professional, IT"
64511,31,['M'],Astronomer
53463,33,['M'],Tax adviser
83752,43,['F'],Cartographer
35395,23,['F'],"Nurse, learning disability"
59249,38,['M'],Research scientist (life sciences)
28892,41,['F'],Architectural technologist
17905,40,['F'],Patent attorney
92709,29,['F'],Recycling officer
15619,31,['F'],Armed forces operational officer
58322,18,['M'],Call centre manager
41856,42,['F'],Paediatric nurse
87292,27,['F'],Barrister
28864,32,['F'],Museum/gallery exhibitions officer
73777,58,['F'],"Designer, fashion/clothing"
5307,50,['F'],Professor Emeritus
36087,51,['F'],Child psychotherapist
12633,29,['F'],"Scientist, biomedical"
12160,36,['M'],Chartered legal executive (England and Wales)
54604,33,['M'],Jewellery designer
75104,34,['F'],Advertising account executive
23807,36,['M'],"Journalist, newspaper"
63098,20,['F'],"Psychologist, clinical"
45437,51,['F'],Dancer
26922,48,['F'],Mudlogger
7776,37,['M'],Primary school teacher
44727,47,['F'],Aeronautical engineer
45972,44,['M'],"Teacher, music"
1833,54,['F'],Financial manager
36766,37,['M'],"Engineer, technical sales"
63138,37,['F'],Printmaker
43662,31,['M'],Phytotherapist
6176,47,['M'],"Editor, film/video"
50473,55,['F'],"Therapist, horticultural"
47901,34,['F'],"Presenter, broadcasting"
50020,41,['M'],Retail manager
82850,29,['M'],"Secretary, company"
76433,60,['M'],Ergonomist
69470,53,['M'],"Scientist, research (maths)"
9279,44,['F'],Counselling psychologist
829,37,['M'],"Engineer, civil (contracting)"
21208,48,['M'],Horticultural consultant
53682,36,['M'],"Engineer, site"
16583,26,['M'],"Buyer, industrial"
33523,52,['M'],Hospital doctor
71875,23,['M'],Operational researcher
18917,46,['F'],Therapeutic radiographer
54626,56,['M'],Media planner
400,27,['F'],Occupational psychologist
25126,34,['M'],Electronics engineer
56831,47,['F'],Armed forces training and education officer
24463,42,['F'],"Designer, interior/spatial"
30196,42,['F'],Theatre stage manager
34389,44,['F'],Podiatrist
84637,34,['F'],Early years teacher
69288,39,['F'],Counsellor
52223,33,['M'],Communications engineer
36635,51,['F'],Museum/gallery exhibitions officer
32779,55,['M'],Air broker
22430,41,['M'],Diplomatic Services operational officer
77120,35,['F'],Recruitment consultant
6751,28,['M'],Phytotherapist
92946,33,['M'],Editorial assistant
3405,29,['F'],Archivist
33629,19,['M'],"Engineer, aeronautical"
96834,44,['F'],Minerals surveyor
